College Name,Location,Type,Rating,Courses offered,Fee Start Range,Fee End Range
SCMS Cochin School of Business,"Cochin, Kerala",Private,N/A,1,6.75 L,14.63 L
RSET - Rajagiri School of Engineering and Technology,"Kochi, Kerala",Private,3.6,2,7 K,4.80 L
IIST Trivandrum,"Thiruvananthapuram, Kerala",Public,4.0,3,25 K,75 K
Sree Chitra Thirunal College of Engineering,"Thiruvananthapuram, Kerala",Public,3.9,3,8 K,2.18 L
SCMS School of Engineering and Technology,"Cochin, Kerala",Private,3.7,3,1.20 L,15.50 L
Saintgits Institute of Management,"Kottayam, Kerala",Private,4.2,2,7 K,1.71 L
ST.Berchmans Institute of Management Studies (BIMS Kerela),"Kottayam, Kerala",Public,N/A,14,29 K,1.16 L
St. Albert's College,"Ernakulam, Kerala",Private,N/A,11,50 K,2 L
College of Engineering Trivandrum,"Thiruvananthapuram, Kerala",Public,4.2,6,1 L,2.50 L
St. Berchmans College,"Kottayam, Kerala",Public,3.8,13,50 K,5.98 L
Newman College,"Thodupuzha, Kerala",Public,N/A,7,20 K,1.24 L
FISAT - Federal Institute of Science and Technology,"Ernakulam, Kerala",Private,3.2,4,15 K,9.60 L
MEC Kochi - Government Model Engineering College,"Kochi, Kerala",Public,N/A,2,5 K,3.74 L
Amrita Center for Allied Health Science,"Kochi, Kerala",Private,3.6,5,30 K,5 L
XIME Kochi,"Kochi, Kerala",Private,4.2,0,2 K,3.45 L
BMC - Bharata Mata College,"Kochi, Kerala",Private,3.6,8,1 L,11.40 L
"College of Engineering, Pathanapuram","Pathanapuram, Kerala",Public,N/A,1,16.06 L,
"MES College, Marampally","Aluva, Kerala",Private,2.7,0,33.69 L,
NLU Kochi (NUALS),"Kochi, Kerala",Public,N/A,1,1.71 L,12 L
"School of Communication and Management Studies, [SCMS] Cochin","Cochin, Kerala",Private,N/A,1,1.40 L,3.60 L
IIT Indore,"Indore, Madhya Pradesh",Public,3.8,4,2.60 L,5.24 L
IISER Bhopal,"Bhopal, Madhya Pradesh",Public Autonomous,4.4,3,4.80 L,12.50 L
IES College of Technology,"Bhopal, Madhya Pradesh",Private,2.8,4,1.20 L,3.20 L
Sagar Institute of Research and Technology,"Bhopal, Madhya Pradesh",Private,3.3,6,11.05 L,18.90 L
IIM Indore,"Indore, Madhya Pradesh",Public,4.1,3,20 K,9.17 L
NIT Bhopal,"Bhopal, Madhya Pradesh",Public,3.2,9,60 K,3.40 L
Prestige Institute of Management and Research (UG & PG Campus),"Indore, Madhya Pradesh",Private,3.7,9,56 K,6 L
IIFM Bhopal,"Bhopal, Madhya Pradesh",Public,4.6,3,30 K,5 L
"Prestige Institute of Management, Gwalior","Gwalior, Madhya Pradesh",Private,3.8,8,23 K,
Prestige Institute of Management Dewas,"Dewas, Madhya Pradesh",Private,3,5,1.45 L,
B.S. Abdur Rahman Crescent Institute of Science and Technology,"Bhopal, Madhya Pradesh",Private,3.5,15,30 K,
Jaipuria Institute of Management Indore,"Indore, Madhya Pradesh",Private,4.2,0,8 L,
Vaikunth Mehta National Institute of Cooperative Management,"Bhopal, Madhya Pradesh",Private,4.4,0,8 L,
LNCT Bhopal,"Bhopal, Madhya Pradesh",Private,3.5,4,12 K,10 L
IIITDM Jabalpur,"Jabalpur, Madhya Pradesh",Public,3.7,5,500,1.20 L
Shri Vaishnav Institute of Management,"Indore, Madhya Pradesh",Private,3.4,6,15 K,13.47 L
Jagran Lakecity University,"Bhopal, Madhya Pradesh",Private,4,20,40 K,4 L
Institute of Engineering and Science IPS Academy,"Indore, Madhya Pradesh",Private,3.3,1,1.96 L,20.95 L
G S College of Commerce and Economics,"Jabalpur, Madhya Pradesh",Private,3.6,3,72 K,1.17 L
"IHM Gwalior - Institute of Hotel Management, Catering Technology & Applied Nutrition","Gwalior, Madhya Pradesh",Public,4.5,1,48 K,4.36 L
Sri Aurobindo Institute of Medical Sciences,"Indore, Madhya Pradesh",Private,3.9,5,1.26 L,5 L
IGNTU - Indira Gandhi National Tribal University,"Anuppur, Madhya Pradesh",Public,3.6,18,1.62 L,6.86 L
Indian Institute of Tourism and Travel Management (Gwalior),"Gwalior, Madhya Pradesh",Public,4,1,2.10 L,14.66 L
"Patel College of Science and Technology, [PCST] Bhopal","Bhopal, Madhya Pradesh",Private,2.8,5,4.35 L,8.40 L
Indore Institute of Law,"Indore, Madhya Pradesh",Private,N/A,4,2.08 L,4.16 L
Jawaharlal Nehru Krishi Vishwavidyalaya,"Jabalpur, Madhya Pradesh",Public,3.4,6,10.22 L,
Indore Professional Studies Academy,"Indore, Madhya Pradesh",Private,3.3,27,1.43 L,3 L
IIT Bombay,"Mumbai, Maharashtra",Public,4.3,13,4.47 L,15 L
UniPune (SPPU),"Pune, Maharashtra",Public,3.3,32,1 L,
IISER Pune,"Pune, Maharashtra",Public,4.0,3,2.19 L,4.37 L
ICT Mumbai,"Mumbai, Maharashtra",Public,3.8,8,2.40 L,6.24 L
MIT-WPU,"Pune, Maharashtra",Private,3.7,25,36 K,7.10 L
"Homi Bhabha National Institute, [HBNI] Mumbai","Mumbai, Maharashtra",Public,N/A,5,7.50 L,11.90 L
VNIT Nagpur,"Nagpur, Maharashtra",Public,3.7,5,12 K,8 L
SIU Pune,"Pune, Maharashtra",Private,4.0,19,90 K,5.60 L
TISS Mumbai,"Mumbai, Maharashtra",Private,3.5,13,18.87 L,
"Dr. D.Y. Patil Vidyapeeth, Pune","Pune, Maharashtra",Public,2.6,14,1.22 L,5.87 L
NMIMS Mumbai,"Mumbai, Maharashtra",Private,3.8,17,2.58 L,22.86 L
Mumbai University,"Mumbai, Maharashtra",Public,3.6,43,11.70 L,18.48 L
Datta Meghe Institute of Medical Sciences,"Nagpur, Maharashtra",Private,3.9,10,2.58 L,22.86 L
SIMC Pune,"Pune, Maharashtra",Private,4.1,2,2.38 L,12.30 L
JBIMS Mumbai,"Mumbai, Maharashtra",Private,3.9,7,1.21 L,
Welingkar Mumbai,"Mumbai, Maharashtra",Private,3.8,4,90 K,7.60 L
K J Somaiya Institute of Management,"Mumbai, Maharashtra",Private,3.7,3,1.83 L,5.51 L
SIMSREE-Sydenham,"Mumbai, Maharashtra",Private,4.6,5,1.40 L,6.20 L
SIDTM,"Pune, Maharashtra",Private,4.5,1,8 K,11 L
Pune Institute of Business Management,"Pune, Maharashtra",Private,4,1,1.02 L,4.26 L
NL Dalmia Institute,"Mumbai, Maharashtra",Private,N/A,4,1.26 L,3.59 L
NITIE Mumbai,"Mumbai, Maharashtra",Public/Government,4.4,3,1.05 L,12.50 L
VIT Pune,"Pune, Maharashtra",Private,3.8,3,2.11 L,2.54 L
SIIB Pune,"Pune, Maharashtra",Private,4.0,1,84 K,1.13 L
Kishinchand Chellaram College,"Mumbai, Maharashtra",Private,4.1,8,81 K,12.35 L
MIT-WPU,"Pune, Maharashtra",Private,3.7,25,50 K,75 K
Pimpri Chinchwad College of Engineering,"Pune, Maharashtra",Private,3.9,4,1.20 L,2 L
SCMHRD Pune,"Pune, Maharashtra",Private,3.8,2,21.27 L,
NIT Manipur,"Imphal, Manipur",Public,3.3,4,12 K,20 L
Sangai International University,"Churachandpur, Manipur",Private,N/A,4,2 K,1.60 L
CAU - Central Agricultural University,"Imphal, Manipur",Public,3,6,5 K,2 L
Kakching Khunou College,"Thoubal, Manipur",Private,N/A,3,73 K,80 K
Waikhom Mani Girls College,"Thoubal, Manipur",Private,N/A,3,60 K,5 L
RIMS Imphal,"Imphal, Manipur",Public,3.2,5,30 K,5 L
Manipur Institute of Technology,"Imphal, Manipur",Private,2.7,1,13.50 L,31 L
R K Sanatombi Devi College,"Imphal, Manipur",Private,N/A,2,88 K,7.80 L
"Manipur Institute of Management Studies (MIMS), Manipur University","Imphal, Manipur",Private,N/A,1,3 L,6 L
Mt. Everest College,"Imphal, Manipur",Private,N/A,0,1.20 L,9.90 L
Western College of Commerce and Business Management,"Imphal, Manipur",Private,1.2,3,2.17 L,10.80 L
Manipur University,"Imphal, Manipur",Public,2.3,17,90 K,4.94 L
"Grace Bible College, Churachandpur","Churachandpur, Manipur",Private,N/A,1,2.23 L,4.98 L
"United College, Chandel","Chandel, Manipur",Private,3.2,2,11 K,69 K
"DM College of science, [DMCS] Imphal","Imphal, Manipur",Private,2.9,1,2.75 L,7.75 L
"Imphal College, Imphal","Imphal, Manipur",Private,2.5,2,3.40 L,7.20 L
"Institute of Bioresources and Sustainable Development, Imphal","Imphal, Manipur",Private,N/A,1,2.23 L,4.08 L
"Dhanamanjuri College of Teacher Education, Imphal","Imphal, Manipur",Public,N/A,2,6.49 L,
IIIT Manipur,"Imphal, Manipur",Public,3.9,2,2.06 L,4.08 L
Dhanamanjuri University,"Imphal, Manipur",,N/A,10,2 K,
North Eastern Hill University (NEHU),"Shillong, Meghalaya",Public,3.2,17,80 K,1.08 L
NIT Meghalaya,"Shillong, Meghalaya",Public,3.8,4,48 K,50 K
IIM Shillong,"Shillong, Meghalaya",Public,4.1,4,74 K,3.32 L
USTM - University of Science & Technology Meghalaya,"Ri Bhoi, Meghalaya",Private,3.1,17,30 K,9.60 L
"National Institute of Fashion Technology, Shillong","Shillong, Meghalaya",Public,N/A,2,432,12 L
Martin Luther Christian University,"Shillong, Meghalaya",Private,2.4,14,1 K,9.08 L
CMJ University,"Ri Bhoi, Meghalaya",Private,2.3,37,12 K,9.50 L
"Mahatma Gandhi University, Tura- Khanapara Campus","Ri Bhoi, Meghalaya",Public,4.1,13,4.80 L,4.80 L
"University of Technology and Management, Meghalaya","Shillong, Meghalaya",Private,3.0,2,60 K,5 L
"The ICFAI University, Meghalaya","Shillong, Meghalaya",Private,N/A,7,29 K,5.33 L
IHM Shillong,"Shillong, Meghalaya",Public,N/A,1,30 K,33.61 L
William Carey University,"Shillong, Meghalaya",Private,2.8,18,30 K,4.44 L
NEIGRIHMS,"Shillong, Meghalaya",Autonomous/Public,N/A,6,36 K,61 K
"St. Anthonys College, Shillong","Shillong, Meghalaya",Public,3.7,8,1.03 L,1.36 L
St. Mary'S College,"Shillong, Meghalaya",Private,4.1,4,33 K,74 K
Sankardev College,"Shillong, Meghalaya",Public,3.5,2,52 K,2 L
Synod College,"Shillong, Meghalaya",Private,3.8,4,10.83 L,
Umshyrpi College,"Shillong, Meghalaya",Private,4.9,2,56 K,
"Union Christian College, Shillong","Shillong, Meghalaya",Private,2.6,4,30 K,76 K
"Harding Theological College, West Garo Hills","Tura, Meghalaya",Private,N/A,1,8.50 L,
"College of Teacher Education,Shillong","Shillong, Meghalaya",Private,N/A,1,1.14 L,3.54 L
"Montfort Centre for Education, West Garo Hills","West Garo Hills, Meghalaya",Private,N/A,1,12 K,41 K
"English and Foreign Languages University, Shillong","Shillong, Meghalaya",Public,N/A,5,59 K,59 K
"Shillong Commerce College, Shillong","Shillong, Meghalaya",Public,2.8,2,1.73 L,
Shillong College,"Shillong, Meghalaya",Public,N/A,5,1.83 L,3.67 L
"The ICFAI University, Mizoram","Aizawl, Mizoram",Public,1.1,7,33 K,51 K
"Government Polytechnic College, Lunglei","Lunglei, Mizoram",Private,N/A,1,45 K,5 L
Government Saiha College,"Saiha, Mizoram",Public,N/A,3,400,21 K
Government Aizawl West College,"Aizawl, Mizoram",Public,N/A,1,14.93 L,
Government Zirtiri Residential Science College,"Aizawl, Mizoram",Private,2.6,2,1.45 L,
"Aizawl Theological College, Aizawl","Aizawl, Mizoram",Private,N/A,3,45 K,5 L
Pachhunga University College,"Aizawl, Mizoram",Public,3.3,3,28 K,75 K
Mizoram University,"Aizawl, Mizoram",Public,3.5,7,10 K,25 K
NIT Mizoram,"Aizawl, Mizoram",Public,N/A,3,30 K,1.25 L
Nagaland University Kohima,"Kohima, Nagaland",Public,3.3,8,3 K,88 K
